csv,version,i,rowCount,Time (sec),Query,errorBound,Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,0,1,256.717185073,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.99 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.94 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.745 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.77 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=50882999, min=0.0000, max=621.9800, sum=696851883.5621, mean=13.6952, sumOfSquares=NaN}, 3=StatsDuckDB{count=50882999, min=0.0000, max=9.0000, sum=86395829.0000, mean=1.6979, sumOfSquares=NaN}, 4=StatsDuckDB{count=50882999, min=0.0000, max=500.0000, sum=124594229.2933, mean=2.4486, sumOfSquares=NaN}, 12=StatsDuckDB{count=50882999, min=0.0000, max=400.0000, sum=577650087.2219, mean=11.3525, sumOfSquares=NaN}}","{17=6.968518835620996E8, 3=8.6395829E7, 4=1.2459422929331754E8, 12=5.776500872218779E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,1,1,18.660223534,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.9965 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.9465 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.74825 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.77325 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=61050478, min=0.0000, max=621.9800, sum=831957259.1348, mean=13.6274, sumOfSquares=NaN}, 3=StatsDuckDB{count=61050478, min=0.0000, max=9.0000, sum=103453388.0000, mean=1.6946, sumOfSquares=NaN}, 4=StatsDuckDB{count=61050478, min=0.0000, max=504.3000, sum=148540162.1904, mean=2.4331, sumOfSquares=NaN}, 12=StatsDuckDB{count=61050478, min=0.0000, max=400.0000, sum=691785375.3120, mean=11.3314, sumOfSquares=NaN}}","{17=8.319572591348158E8, 3=1.03453388E8, 4=1.4854016219044134E8, 12=6.917853753120354E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,2,1,18.246305909,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.9895 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.93951 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.75175 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.776752 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=51024908, min=0.0000, max=621.9800, sum=688870760.3302, mean=13.5007, sumOfSquares=NaN}, 3=StatsDuckDB{count=51024908, min=0.0000, max=9.0000, sum=86443262.0000, mean=1.6941, sumOfSquares=NaN}, 4=StatsDuckDB{count=51024908, min=0.0000, max=500.0000, sum=123024941.6213, mean=2.4111, sumOfSquares=NaN}, 12=StatsDuckDB{count=51024908, min=0.0000, max=400.0000, sum=572406401.6216, mean=11.2182, sumOfSquares=NaN}}","{17=6.88870760330151E8, 3=8.6443262E7, 4=1.2302494162127613E8, 12=5.724064016215574E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,3,1,18.165831633,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.9895 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.93951 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.7495 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.7745 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=51311256, min=0.0000, max=621.9800, sum=697079049.0007, mean=13.5853, sumOfSquares=NaN}, 3=StatsDuckDB{count=51311256, min=0.0000, max=9.0000, sum=87003871.0000, mean=1.6956, sumOfSquares=NaN}, 4=StatsDuckDB{count=51311256, min=0.0000, max=500.0000, sum=124577048.5220, mean=2.4279, sumOfSquares=NaN}, 12=StatsDuckDB{count=51311256, min=0.0000, max=400.0000, sum=578739184.2317, mean=11.2790, sumOfSquares=NaN}}","{17=6.970790490006802E8, 3=8.7003871E7, 4=1.2457704852204916E8, 12=5.787391842316954E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,4,1,18.048237707,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.983505 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.93351 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.7525 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.7775 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=42232347, min=0.0000, max=621.9800, sum=562993094.5852, mean=13.3309, sumOfSquares=NaN}, 3=StatsDuckDB{count=42232347, min=0.0000, max=9.0000, sum=71289587.0000, mean=1.6880, sumOfSquares=NaN}, 4=StatsDuckDB{count=42232347, min=0.0000, max=500.0000, sum=99733827.2035, mean=2.3616, sumOfSquares=NaN}, 12=StatsDuckDB{count=42232347, min=0.0000, max=400.0000, sum=467825625.3112, mean=11.0774, sumOfSquares=NaN}}","{17=5.629930945851661E8, 3=7.1289587E7, 4=9.973382720353618E7, 12=4.67825625311171E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,5,1,17.802357404,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.977005 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.92701 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.74925 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.77425 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=29559883, min=0.0000, max=621.9800, sum=391028701.1478, mean=13.2284, sumOfSquares=NaN}, 3=StatsDuckDB{count=29559883, min=0.0000, max=9.0000, sum=49606304.0000, mean=1.6782, sumOfSquares=NaN}, 4=StatsDuckDB{count=29559883, min=0.0000, max=500.0000, sum=69369922.3787, mean=2.3468, sumOfSquares=NaN}, 12=StatsDuckDB{count=29559883, min=0.0000, max=400.0000, sum=324792791.7508, mean=10.9876, sumOfSquares=NaN}}","{17=3.910287011478473E8, 3=4.9606304E7, 4=6.936992237869331E7, 12=3.247927917508008E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,6,1,17.749142186,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.981 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.95601 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.753624 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.766125 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=20866088, min=0.0000, max=621.9800, sum=280884670.0599, mean=13.4613, sumOfSquares=NaN}, 3=StatsDuckDB{count=20866088, min=0.0000, max=9.0000, sum=35300587.0000, mean=1.6918, sumOfSquares=NaN}, 4=StatsDuckDB{count=20866088, min=0.0000, max=500.0000, sum=49643461.4117, mean=2.3791, sumOfSquares=NaN}, 12=StatsDuckDB{count=20866088, min=0.0000, max=400.0000, sum=232730197.8107, mean=11.1535, sumOfSquares=NaN}}","{17=2.8088467005993617E8, 3=3.5300587E7, 4=4.9643461411697894E7, 12=2.327301978107454E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,7,1,17.681902393,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.983 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.970505 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.755814 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.762062 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=6552236, min=0.0000, max=621.9800, sum=93551004.3757, mean=14.2777, sumOfSquares=NaN}, 3=StatsDuckDB{count=6552236, min=0.0000, max=9.0000, sum=11225724.0000, mean=1.7133, sumOfSquares=NaN}, 4=StatsDuckDB{count=6552236, min=0.0000, max=240.8000, sum=16553869.0677, mean=2.5264, sumOfSquares=NaN}, 12=StatsDuckDB{count=6552236, min=0.0000, max=400.0000, sum=77010821.6103, mean=11.7534, sumOfSquares=NaN}}","{17=9.355100437565303E7, 3=1.1225724E7, 4=1.6553869067719998E7, 12=7.701082161030722E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,8,1,17.530916756,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.984 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.97775 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.756905 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.760033 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=1151695, min=0.0000, max=405.8300, sum=16287789.9740, mean=14.1425, sumOfSquares=NaN}, 3=StatsDuckDB{count=1151695, min=0.0000, max=9.0000, sum=2013423.0000, mean=1.7482, sumOfSquares=NaN}, 4=StatsDuckDB{count=1151695, min=0.0000, max=93.6000, sum=2879189.8098, mean=2.5000, sumOfSquares=NaN}, 12=StatsDuckDB{count=1151695, min=0.0000, max=350.0000, sum=13502933.7801, mean=11.7244, sumOfSquares=NaN}}","{17=1.6287789974008322E7, 3=2013423.0, 4=2879189.8097864203, 12=1.3502933780051231E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,9,1,17.614736918,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.98325 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.977005 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.75728 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.760406 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=1276398, min=0.0000, max=405.8300, sum=17555209.2683, mean=13.7537, sumOfSquares=NaN}, 3=StatsDuckDB{count=1276398, min=0.0000, max=9.0000, sum=2218714.0000, mean=1.7383, sumOfSquares=NaN}, 4=StatsDuckDB{count=1276398, min=0.0000, max=93.6000, sum=3038079.9598, mean=2.3802, sumOfSquares=NaN}, 12=StatsDuckDB{count=1276398, min=0.0000, max=350.0000, sum=14550872.0900, mean=11.3999, sumOfSquares=NaN}}","{17=1.7555209268330097E7, 3=2218714.0, 4=3038079.9598417785, 12=1.4550872090046883E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,10,1,17.591466106,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.984 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.97775 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.75728 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.760406 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=1164549, min=0.0000, max=405.8300, sum=16512511.8724, mean=14.1793, sumOfSquares=NaN}, 3=StatsDuckDB{count=1164549, min=0.0000, max=9.0000, sum=2030256.0000, mean=1.7434, sumOfSquares=NaN}, 4=StatsDuckDB{count=1164549, min=0.0000, max=93.6000, sum=2904737.9897, mean=2.4943, sumOfSquares=NaN}, 12=StatsDuckDB{count=1164549, min=0.0000, max=350.0000, sum=13666019.4001, mean=11.7350, sumOfSquares=NaN}}","{17=1.6512511872356176E7, 3=2030256.0, 4=2904737.989743758, 12=1.366601940005207E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,directCSV,11,1,17.63667597,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17, count(CAST(column04 AS FLOAT)) as count_column04, min(CAST(column04 AS FLOAT)) as min_column04, max(CAST(column04 AS FLOAT)) as max_column04, sum(CAST(column04 AS FLOAT)) as sum_column04, avg(CAST(column04 AS FLOAT)) as avg_column04, count(CAST(column03 AS FLOAT)) as count_column03, min(CAST(column03 AS FLOAT)) as min_column03, max(CAST(column03 AS FLOAT)) as max_column03, sum(CAST(column03 AS FLOAT)) as sum_column03, avg(CAST(column03 AS FLOAT)) as avg_column03 from read_csv_auto('/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv', ignore_errors = true) where CAST(column05 AS FLOAT) > CAST(-73.984 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.97775 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.75678 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.759907 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=1153094, min=0.0000, max=405.8300, sum=16314465.7552, mean=14.1484, sumOfSquares=NaN}, 3=StatsDuckDB{count=1153094, min=0.0000, max=9.0000, sum=2016360.0000, mean=1.7487, sumOfSquares=NaN}, 4=StatsDuckDB{count=1153094, min=0.0000, max=93.6000, sum=2889462.6198, mean=2.5058, sumOfSquares=NaN}, 12=StatsDuckDB{count=1153094, min=0.0000, max=350.0000, sum=13528597.6201, mean=11.7324, sumOfSquares=NaN}}","{17=1.6314465755245924E7, 3=2016360.0, 4=2889462.6197974104, 12=1.3528597620053291E7}"
